year,team,total_picks,weighted_draft_score,first_round_picks,second_round_picks
2005,Western Kentucky,0,0,0,0
2005,Jacksonville State,0,0,0,0
2005,Princeton,0,0,0,0
2005,Southern Utah,0,0,0,0
2005,Duke,0,0,0,0
2005,Marist,0,0,0,0
2005,Delaware State,0,0,0,0
2005,Texas Southern,0,0,0,0
2005,Navy,0,0,0,0
2005,UTSA,0,0,0,0
2005,South Alabama,0,0,0,0
2005,Charlotte,0,0,0,0
2005,Youngstown State,0,0,0,0
2005,Grambling,0,0,0,0
2005,Lamar,0,0,0,0
2005,Bucknell,0,0,0,0
2005,Drake,0,0,0,0
2005,Georgia State,0,0,0,0
2005,Pennsylvania,0,0,0,0
2005,Wagner,0,0,0,0
2005,Western Carolina,0,0,0,0
2005,Southeast Missouri State,0,0,0,0
2005,Old Dominion,0,0,0,0
2005,Prairie View A&M,0,0,0,0
2005,Morgan State,0,0,0,0
2005,Air Force,0,0,0,0
2005,Dayton,0,0,0,0
2005,Rhode Island,0,0,0,0
2005,North Texas,0,0,0,0
2006,Utah,2,2,0,0
2006,Auburn,4,8,0,1
2006,Michigan,3,7,0,0
2006,Texas,6,26,2,1
2006,West Virginia,1,1,0,0
2006,South Carolina,2,10,1,0
2006,Miami,9,38,1,3
2006,USC,11,44,2,3
2006,Troy,0,0,0,0
2006,Maryland,3,13,1,1
2006,Oklahoma,6,25,1,1
2006,Georgia,7,18,0,1
2006,Florida State,8,39,4,0
2006,Wisconsin,5,14,0,0
2006,LSU,7,23,1,1
2006,Arkansas,1,1,0,0
2006,Nebraska,4,8,0,1
2006,California,3,4,0,0
2006,Ole Miss,1,1,0,0
2006,UAB,0,0,0,0
2006,Northwestern,3,5,0,0
2006,Virginia,5,13,1,0
2006,Fresno State,3,7,0,1
2006,Houston,0,0,0,0
2006,Eastern Washington,0,0,0,0
2006,Tennessee,5,14,1,0
2006,Iowa,2,11,1,0
2006,Ohio State,9,49,5,0
2006,Howard,1,1,0,0
2006,Bethune-Cookman,0,0,0,0
2006,Washington,1,3,0,0
2006,Louisville,4,10,0,0
2006,Oklahoma State,1,1,0,0
2006,Clemson,3,12,1,0
2006,Texas A&M,2,2,0,0
2006,Illinois,0,0,0,0
2006,Northern Colorado,1,1,0,0
2006,San Diego State,2,5,0,0
2006,Syracuse,4,8,0,0
2006,Stanford,4,8,0,0
2006,Akron,1,3,0,0
2006,Indiana,2,6,0,0
2006,Arizona State,2,7,0,0
2006,Florida,3,7,0,1
2006,Notre Dame,3,10,0,1
2006,Virginia Tech,9,21,0,2
2006,Washington State,1,2,0,0
2006,Louisiana Tech,0,0,0,0
2006,Alabama,5,18,0,2
2006,UConn,0,0,0,0
2006,Iowa State,1,2,0,0
2006,Missouri,2,4,0,0
2006,Cal Poly,1,4,0,0
2006,NC State,6,26,3,0
2006,Kentucky,0,0,0,0
2006,Oregon,4,16,1,1
2006,Toledo,1,1,0,0
2006,Purdue,4,12,0,1
2006,Minnesota,4,11,1,0
2006,Southern Illinois,0,0,0,0
2006,Mississippi State,1,4,0,0
2006,Hampton,0,0,0,0
2006,Central Michigan,0,0,0,0
2006,UCLA,3,13,1,1
2006,North Carolina,1,1,0,0
2006,BYU,1,1,0,0
2006,Texas Tech,1,1,0,0
2006,Kansas State,1,1,0,0
2006,New Mexico,2,6,0,1
2006,Tulane,1,1,0,0
2006,Illinois State,1,2,0,0
2006,Kansas,0,0,0,0
2006,North Carolina A&T,0,0,0,0
2006,Cincinnati,0,0,0,0
2006,Miami (OH),1,2,0,0
2006,UNLV,0,0,0,0
2006,Wake Forest,1,1,0,0
2006,Montana,0,0,0,0
2006,Southern Miss,0,0,0,0
2006,TCU,3,6,0,0
2006,Tennessee Tech,0,0,0,0
2006,North Dakota State,0,0,0,0
2006,Temple,0,0,0,0
2006,UL Monroe,0,0,0,0
2006,Oregon State,2,2,0,0
2006,Hawai'i,0,0,0,0
2006,Louisiana,0,0,0,0
2006,Vanderbilt,1,7,1,0
2006,Ball State,0,0,0,0
2006,Colorado State,1,1,0,0
2006,Baylor,1,1,0,0
2006,Michigan State,3,8,0,0
2006,Marshall,0,0,0,0
2006,Pittsburgh,2,5,0,0
2006,UTEP,1,5,0,1
2006,The Citadel,0,0,0,0
2006,Tulsa,1,3,0,0
2006,Eastern Michigan,0,0,0,0
2006,Northern Arizona,0,0,0,0
2006,Bowling Green,1,2,0,0
2006,Harvard,0,0,0,0
2006,Penn State,6,18,1,0
2006,Memphis,2,10,1,0
2006,Boston College,3,15,1,1
2006,Colorado,4,10,0,1
2006,Boise State,1,5,0,1
2006,Western Michigan,2,10,0,2
2006,Alabama State,1,5,0,1
2006,Weber State,2,5,0,0
2006,Northwestern State,1,4,0,0
2006,Georgia Tech,3,9,0,0
2006,UCF,1,3,0,0
2006,East Carolina,1,3,0,0
2006,Furman,1,2,0,0
2006,North Dakota,1,2,0,0
2006,Nevada,1,2,0,0
2006,Cornell,1,1,0,0
2006,Wyoming,1,1,0,0
2006,Texas State,1,1,0,0
2006,Samford,1,1,0,0
2006,Arizona,1,1,0,0
2006,Maine,1,1,0,0
2006,Rutgers,0,0,0,0
2006,Kent State,0,0,0,0
2006,San José State,0,0,0,0
2006,Northern Illinois,0,0,0,0
2006,South Florida,0,0,0,0
2006,Brown,0,0,0,0
2006,Towson,0,0,0,0
2006,Florida International,0,0,0,0
2006,North Carolina Central,0,0,0,0
2006,Alabama A&M,0,0,0,0
2006,New Hampshire,0,0,0,0
2006,Arkansas State,0,0,0,0
2006,Nicholls,0,0,0,0
2006,SMU,0,0,0,0
2006,Portland State,0,0,0,0
2006,Central Arkansas,0,0,0,0
2006,Central Connecticut,0,0,0,0
2006,Delaware,0,0,0,0
2006,Coastal Carolina,0,0,0,0
2006,Elon,0,0,0,0
2006,Tennessee State,0,0,0,0
2006,App State,0,0,0,0
2006,Eastern Kentucky,0,0,0,0
2006,McNeese,0,0,0,0
2006,Northern Iowa,0,0,0,0
2006,Utah State,0,0,0,0
2006,Richmond,0,0,0,0
2006,San Diego,0,0,0,0
2006,Middle Tennessee,0,0,0,0
2006,Buffalo,0,0,0,0
2006,Jackson State,0,0,0,0
2006,Villanova,0,0,0,0
2006,Gardner-Webb,0,0,0,0
2006,Ohio,0,0,0,0
2006,Army,0,0,0,0
2006,Idaho,0,0,0,0
2006,Western Illinois,0,0,0,0
2006,William & Mary,0,0,0,0
2006,Rice,0,0,0,0
2006,Sam Houston,0,0,0,0
2006,Monmouth,0,0,0,0
2006,Norfolk State,0,0,0,0
2006,Stephen F. Austin,0,0,0,0
2006,Liberty,0,0,0,0
2006,Massachusetts,0,0,0,0
2006,Missouri State,0,0,0,0
2006,Eastern Illinois,0,0,0,0
2006,Murray State,0,0,0,0
2006,Fordham,0,0,0,0
2006,Florida Atlantic,0,0,0,0
2006,James Madison,0,0,0,0
2006,South Dakota State,0,0,0,0
2006,South Carolina State,0,0,0,0
2006,Lehigh,0,0,0,0
2006,New Mexico State,0,0,0,0
2006,Chattanooga,0,0,0,0
2006,Yale,0,0,0,0
2006,Montana State,0,0,0,0
2006,Florida A&M,0,0,0,0
2006,Presbyterian,0,0,0,0
2006,South Dakota,0,0,0,0
2006,SE Louisiana,0,0,0,0
2006,Arkansas-Pine Bluff,0,0,0,0
2006,Georgia Southern,0,0,0,0
2006,UT Martin,0,0,0,0
2006,Western Kentucky,0,0,0,0
2006,Jacksonville State,0,0,0,0
2006,Princeton,0,0,0,0
2006,Southern Utah,0,0,0,0
2006,Duke,0,0,0,0
2006,Marist,0,0,0,0
2006,Delaware State,0,0,0,0
2006,Texas Southern,0,0,0,0
2006,Navy,0,0,0,0
2006,UTSA,0,0,0,0
2006,South Alabama,0,0,0,0
2006,Charlotte,0,0,0,0
2006,Youngstown State,0,0,0,0
2006,Grambling,0,0,0,0
2006,Lamar,0,0,0,0
2006,Bucknell,0,0,0,0
2006,Drake,0,0,0,0
2006,Georgia State,0,0,0,0
2006,Pennsylvania,0,0,0,0
2006,Wagner,0,0,0,0
2006,Western Carolina,0,0,0,0
2006,Southeast Missouri State,0,0,0,0
2006,Old Dominion,0,0,0,0
2006,Prairie View A&M,0,0,0,0
2006,Morgan State,0,0,0,0
2006,Air Force,0,0,0,0
2006,Dayton,0,0,0,0
2006,Rhode Island,0,0,0,0
2006,North Texas,0,0,0,0
2007,Utah,2,8,0,1
2007,Auburn,5,16,1,1
2007,Michigan,7,26,1,3
2007,Texas,7,30,2,2
2007,West Virginia,0,0,0,0
2007,South Carolina,2,8,0,1
2007,Miami,5,27,3,0
2007,USC,5,18,0,3
2007,Troy,1,3,0,0
2007,Maryland,2,8,0,1
2007,Oklahoma,3,9,1,0
2007,Georgia,4,12,0,0
2007,Florida State,5,22,1,0
2007,Wisconsin,1,7,1,0
2007,LSU,5,29,4,0
2007,Arkansas,4,18,1,2
2007,Nebraska,4,19,1,1
2007,California,4,16,1,0
2007,Ole Miss,2,8,1,0
2007,UAB,0,0,0,0
2007,Northwestern,0,0,0,0
2007,Virginia,2,2,0,0
2007,Fresno State,4,12,0,0
2007,Houston,1,5,0,1
2007,Eastern Washington,0,0,0,0
2007,Tennessee,6,29,2,2
2007,Iowa,3,8,0,0
2007,Ohio State,8,28,2,0
2007,Howard,0,0,0,0
2007,Bethune-Cookman,0,0,0,0
2007,Washington,2,6,0,0
2007,Louisville,4,14,1,0
2007,Oklahoma State,2,4,0,0
2007,Clemson,5,16,1,0
2007,Texas A&M,0,0,0,0
2007,Illinois,1,1,0,0
2007,Northern Colorado,0,0,0,0
2007,San Diego State,0,0,0,0
2007,Syracuse,2,4,0,0
2007,Stanford,3,10,0,0
2007,Akron,1,4,0,0
2007,Indiana,0,0,0,0
2007,Arizona State,2,6,0,1
2007,Florida,9,28,2,0
2007,Notre Dame,7,21,1,1
2007,Virginia Tech,3,8,0,0
2007,Washington State,2,6,0,0
2007,Louisiana Tech,1,1,0,0
2007,Alabama,3,5,0,0
2007,UConn,1,1,0,0
2007,Iowa State,1,1,0,0
2007,Missouri,1,3,0,0
2007,Cal Poly,1,1,0,0
2007,NC State,3,10,0,0
2007,Kentucky,0,0,0,0
2007,Oregon,3,4,0,0
2007,Toledo,0,0,0,0
2007,Purdue,3,10,1,0
2007,Minnesota,1,4,0,0
2007,Southern Illinois,0,0,0,0
2007,Mississippi State,1,2,0,0
2007,Hampton,1,5,0,1
2007,Central Michigan,3,13,1,1
2007,UCLA,1,2,0,0
2007,North Carolina,0,0,0,0
2007,BYU,1,5,0,1
2007,Texas Tech,3,5,0,0
2007,Kansas State,3,6,0,0
2007,New Mexico,1,4,0,0
2007,Tulane,0,0,0,0
2007,Illinois State,1,4,0,0
2007,Kansas,0,0,0,0
2007,North Carolina A&T,0,0,0,0
2007,Cincinnati,2,5,0,0
2007,Miami (OH),1,3,0,0
2007,UNLV,1,5,0,1
2007,Wake Forest,2,3,0,0
2007,Montana,0,0,0,0
2007,Southern Miss,0,0,0,0
2007,TCU,2,4,0,0
2007,Tennessee Tech,0,0,0,0
2007,North Dakota State,0,0,0,0
2007,Temple,0,0,0,0
2007,UL Monroe,1,2,0,0
2007,Oregon State,2,6,0,1
2007,Hawai'i,5,13,0,2
2007,Louisiana,0,0,0,0
2007,Vanderbilt,0,0,0,0
2007,Ball State,0,0,0,0
2007,Colorado State,1,2,0,0
2007,Baylor,2,4,0,0
2007,Michigan State,3,8,0,1
2007,Marshall,1,1,0,0
2007,Pittsburgh,3,11,1,0
2007,UTEP,2,5,0,0
2007,The Citadel,0,0,0,0
2007,Tulsa,0,0,0,0
2007,Eastern Michigan,0,0,0,0
2007,Northern Arizona,0,0,0,0
2007,Bowling Green,0,0,0,0
2007,Harvard,0,0,0,0
2007,Penn State,5,22,1,1
2007,Memphis,1,2,0,0
2007,Boston College,2,7,0,0
2007,Colorado,2,2,0,0
2007,Boise State,4,9,0,1
2007,Western Michigan,0,0,0,0
2007,Alabama State,1,2,0,0
2007,Weber State,0,0,0,0
2007,Northwestern State,0,0,0,0
2007,Georgia Tech,2,10,1,0
2007,UCF,1,4,0,0
2007,East Carolina,1,2,0,0
2007,Furman,0,0,0,0
2007,North Dakota,0,0,0,0
2007,Nevada,1,2,0,0
2007,Cornell,0,0,0,0
2007,Wyoming,1,1,0,0
2007,Texas State,0,0,0,0
2007,Samford,0,0,0,0
2007,Arizona,4,8,0,1
2007,Maine,1,1,0,0
2007,Rutgers,3,8,0,1
2007,Kent State,1,4,0,0
2007,San José State,2,5,0,0
2007,Northern Illinois,2,7,0,0
2007,South Florida,1,3,0,0
2007,Brown,1,3,0,0
2007,Towson,1,3,0,0
2007,Florida International,2,4,0,0
2007,North Carolina Central,1,2,0,0
2007,Alabama A&M,1,2,0,0
2007,New Hampshire,1,2,0,0
2007,Arkansas State,1,1,0,0
2007,Nicholls,1,1,0,0
2007,SMU,1,1,0,0
2007,Portland State,1,1,0,0
2007,Central Arkansas,1,1,0,0
2007,Central Connecticut,1,1,0,0
2007,Delaware,1,1,0,0
2007,Coastal Carolina,1,1,0,0
2007,Elon,1,1,0,0
2007,Tennessee State,0,0,0,0
2007,App State,0,0,0,0
2007,Eastern Kentucky,0,0,0,0
2007,McNeese,0,0,0,0
2007,Northern Iowa,0,0,0,0
2007,Utah State,0,0,0,0
2007,Richmond,0,0,0,0
2007,San Diego,0,0,0,0
2007,Middle Tennessee,0,0,0,0
2007,Buffalo,0,0,0,0
2007,Jackson State,0,0,0,0
2007,Villanova,0,0,0,0
2007,Gardner-Webb,0,0,0,0
2007,Ohio,0,0,0,0
2007,Army,0,0,0,0
2007,Idaho,0,0,0,0
2007,Western Illinois,0,0,0,0
2007,William & Mary,0,0,0,0
2007,Rice,0,0,0,0
2007,Sam Houston,0,0,0,0
2007,Monmouth,0,0,0,0
2007,Norfolk State,0,0,0,0
2007,Stephen F. Austin,0,0,0,0
2007,Liberty,0,0,0,0
2007,Massachusetts,0,0,0,0
2007,Missouri State,0,0,0,0
2007,Eastern Illinois,0,0,0,0
2007,Murray State,0,0,0,0
2007,Fordham,0,0,0,0
2007,Florida Atlantic,0,0,0,0
2007,James Madison,0,0,0,0
2007,South Dakota State,0,0,0,0
2007,South Carolina State,0,0,0,0
2007,Lehigh,0,0,0,0
2007,New Mexico State,0,0,0,0
2007,Chattanooga,0,0,0,0
2007,Yale,0,0,0,0
2007,Montana State,0,0,0,0
2007,Florida A&M,0,0,0,0
2007,Presbyterian,0,0,0,0
2007,South Dakota,0,0,0,0
2007,SE Louisiana,0,0,0,0
2007,Arkansas-Pine Bluff,0,0,0,0
2007,Georgia Southern,0,0,0,0
2007,UT Martin,0,0,0,0
2007,Western Kentucky,0,0,0,0
2007,Jacksonville State,0,0,0,0
2007,Princeton,0,0,0,0
2007,Southern Utah,0,0,0,0
2007,Duke,0,0,0,0
2007,Marist,0,0,0,0
2007,Delaware State,0,0,0,0
2007,Texas Southern,0,0,0,0
2007,Navy,0,0,0,0
2007,UTSA,0,0,0,0
2007,South Alabama,0,0,0,0
2007,Charlotte,0,0,0,0
2007,Youngstown State,0,0,0,0
2007,Grambling,0,0,0,0
2007,Lamar,0,0,0,0
2007,Bucknell,0,0,0,0
2007,Drake,0,0,0,0
2007,Georgia State,0,0,0,0
2007,Pennsylvania,0,0,0,0
2007,Wagner,0,0,0,0
2007,Western Carolina,0,0,0,0
2007,Southeast Missouri State,0,0,0,0
2007,Old Dominion,0,0,0,0
2007,Prairie View A&M,0,0,0,0
2007,Morgan State,0,0,0,0
2007,Air Force,0,0,0,0
2007,Dayton,0,0,0,0
2007,Rhode Island,0,0,0,0
2007,North Texas,0,0,0,0
2008,Utah,0,0,0,0
2008,Auburn,5,18,0,2
2008,Michigan,6,22,1,1
2008,Texas,5,18,0,1
2008,West Virginia,3,7,0,0
2008,South Carolina,1,1,0,0
2008,Miami,3,16,1,1
2008,USC,10,48,4,3
2008,Troy,1,7,1,0
2008,Maryland,1,3,0,0
2008,Oklahoma,4,15,0,2
2008,Georgia,4,5,0,0
2008,Florida State,3,7,0,0
2008,Wisconsin,4,6,0,0
2008,LSU,7,24,1,0
2008,Arkansas,6,21,2,0
2008,Nebraska,3,5,0,0
2008,California,6,18,0,1
2008,Ole Miss,0,0,0,0
2008,UAB,0,0,0,0
2008,Northwestern,0,0,0,0
2008,Virginia,3,15,2,0
2008,Fresno State,1,2,0,0
2008,Houston,1,5,0,1
2008,Eastern Washington,0,0,0,0
2008,Tennessee,3,13,1,0
2008,Iowa,3,8,0,0
2008,Ohio State,3,9,1,0
2008,Howard,0,0,0,0
2008,Bethune-Cookman,0,0,0,0
2008,Washington,0,0,0,0
2008,Louisville,5,14,0,1
2008,Oklahoma State,0,0,0,0
2008,Clemson,2,6,0,1
2008,Texas A&M,5,13,0,1
2008,Illinois,1,7,1,0
2008,Northern Colorado,0,0,0,0
2008,San Diego State,4,7,0,0
2008,Syracuse,0,0,0,0
2008,Stanford,0,0,0,0
2008,Akron,1,3,0,0
2008,Indiana,2,10,0,2
2008,Arizona State,5,13,0,1
2008,Florida,2,11,1,0
2008,Notre Dame,4,15,0,2
2008,Virginia Tech,8,28,1,2
2008,Washington State,1,1,0,0
2008,Louisiana Tech,0,0,0,0
2008,Alabama,0,0,0,0
2008,UConn,2,4,0,0
2008,Iowa State,2,3,0,0
2008,Missouri,2,6,0,0
2008,Cal Poly,0,0,0,0
2008,NC State,2,6,0,0
2008,Kentucky,4,8,0,0
2008,Oregon,3,10,1,0
2008,Toledo,2,5,0,0
2008,Purdue,3,14,1,0
2008,Minnesota,1,1,0,0
2008,Southern Illinois,0,0,0,0
2008,Mississippi State,0,0,0,0
2008,Hampton,1,4,0,0
2008,Central Michigan,0,0,0,0
2008,UCLA,3,7,0,0
2008,North Carolina,2,8,1,0
2008,BYU,1,3,0,0
2008,Texas Tech,0,0,0,0
2008,Kansas State,2,6,0,1
2008,New Mexico,1,3,0,0
2008,Tulane,1,5,0,1
2008,Illinois State,0,0,0,0
2008,Kansas,4,14,1,0
2008,North Carolina A&T,0,0,0,0
2008,Cincinnati,2,2,0,0
2008,Miami (OH),0,0,0,0
2008,UNLV,1,3,0,0
2008,Wake Forest,3,6,0,0
2008,Montana,2,3,0,0
2008,Southern Miss,1,1,0,0
2008,TCU,0,0,0,0
2008,Tennessee Tech,0,0,0,0
2008,North Dakota State,1,1,0,0
2008,Temple,0,0,0,0
2008,UL Monroe,0,0,0,0
2008,Oregon State,2,3,0,0
2008,Hawai'i,1,1,0,0
2008,Louisiana,0,0,0,0
2008,Vanderbilt,3,13,1,0
2008,Ball State,0,0,0,0
2008,Colorado State,0,0,0,0
2008,Baylor,0,0,0,0
2008,Michigan State,3,8,0,1
2008,Marshall,0,0,0,0
2008,Pittsburgh,3,11,1,0
2008,UTEP,3,9,0,0
2008,The Citadel,0,0,0,0
2008,Tulsa,1,1,0,0
2008,Eastern Michigan,1,5,0,1
2008,Northern Arizona,0,0,0,0
2008,Bowling Green,1,3,0,0
2008,Harvard,0,0,0,0
2008,Penn State,2,7,0,0
2008,Memphis,0,0,0,0
2008,Boston College,3,15,2,0
2008,Colorado,2,10,0,2
2008,Boise State,2,9,1,0
2008,Western Michigan,0,0,0,0
2008,Alabama State,0,0,0,0
2008,Weber State,1,3,0,0
2008,Northwestern State,1,1,0,0
2008,Georgia Tech,3,8,0,0
2008,UCF,3,8,0,0
2008,East Carolina,1,7,1,0
2008,Furman,1,2,0,0
2008,North Dakota,0,0,0,0
2008,Nevada,0,0,0,0
2008,Cornell,0,0,0,0
2008,Wyoming,0,0,0,0
2008,Texas State,0,0,0,0
2008,Samford,0,0,0,0
2008,Arizona,4,10,1,0
2008,Maine,0,0,0,0
2008,Rutgers,2,9,0,1
2008,Kent State,1,3,0,0
2008,San José State,1,3,0,0
2008,Northern Illinois,0,0,0,0
2008,South Florida,2,9,1,0
2008,Brown,0,0,0,0
2008,Towson,0,0,0,0
2008,Florida International,0,0,0,0
2008,North Carolina Central,0,0,0,0
2008,Alabama A&M,0,0,0,0
2008,New Hampshire,0,0,0,0
2008,Arkansas State,1,5,0,1
2008,Nicholls,1,1,0,0
2008,SMU,0,0,0,0
2008,Portland State,0,0,0,0
2008,Central Arkansas,0,0,0,0
2008,Central Connecticut,0,0,0,0
2008,Delaware,1,7,1,0
2008,Coastal Carolina,1,5,0,1
2008,Elon,0,0,0,0
2008,Tennessee State,1,7,1,0
2008,App State,2,6,0,1
2008,Eastern Kentucky,1,4,0,0
2008,McNeese,1,4,0,0
2008,Northern Iowa,2,5,0,0
2008,Utah State,2,4,0,0
2008,Richmond,2,5,0,0
2008,San Diego,1,2,0,0
2008,Middle Tennessee,1,1,0,0
2008,Buffalo,2,2,0,0
2008,Jackson State,1,1,0,0
2008,Villanova,1,1,0,0
2008,Gardner-Webb,1,1,0,0
2008,Ohio,1,1,0,0
2008,Army,1,1,0,0
2008,Idaho,1,1,0,0
2008,Western Illinois,0,0,0,0
2008,William & Mary,0,0,0,0
2008,Rice,0,0,0,0
2008,Sam Houston,0,0,0,0
2008,Monmouth,0,0,0,0
2008,Norfolk State,0,0,0,0
2008,Stephen F. Austin,0,0,0,0
2008,Liberty,0,0,0,0
2008,Massachusetts,0,0,0,0
2008,Missouri State,0,0,0,0
2008,Eastern Illinois,0,0,0,0
2008,Murray State,0,0,0,0
2008,Fordham,0,0,0,0
2008,Florida Atlantic,0,0,0,0
2008,James Madison,0,0,0,0
2008,South Dakota State,0,0,0,0
